,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.392,26554.23,1181.26,0.27,64.05,62.47,98.222
1,3.92,2149.16,203.73,0.1,56.49,48.665,96.145
2,4.044,2356.92,203.7,0.15,59.093,48.384,94.26
3,4.248,5185.71,227.16,0.18,56.888,49.153,96.878
4,4.588,2063735.7,146729.28,0.41,73.2,98.456,63.043
5,4.836,116488.81,9199.8,0.19,46.163,48.933,95.317
6,5.084,37242.98,2825.32,0.15,56.884,57.426,97.621
7,5.244,171936.32,12111.65,0.15,56.987,60.565,94.092
8,5.368,86829.95,5938.42,0.13,61.417,66.854,97.089
9,5.56,2206.66,189.67,0.12,47.515,46.632,98.483
